country,wdi_code,region_short,income_short,region,income,,,,,,,
Afghanistan,AFG,SA,L,South Asia,Low,,,,,,,
Albania,ALB,ECA,UM,Eastern Europe & Central Asia,Upper middle,,,,,,,
Argentina,ARG,LAC,UM,Latin America & Caribbean,Upper middle,,,,,,,
Australia,AUS,EAP,H,East Asia & Pacific,High,,,,,,,
Austria,AUT,EURNA,H,EU + EFTA + North America,High,,,,,,,
Bangladesh,BGD,SA,L,South Asia,Low,,,,,,,
Belarus,BLR,ECA,UM,Eastern Europe & Central Asia,Upper middle,,,,,,,
Belgium,BEL,EURNA,H,EU + EFTA + North America,High,,,,,,,
Belize,BLZ,LAC,UM,Latin America & Caribbean,Upper middle,,,,,,,
Bolivia,BOL,LAC,LM,Latin America & Caribbean,Lower middle,,,,,,,
Bosnia and Herzegovina,BIH,ECA,UM,Eastern Europe & Central Asia,Upper middle,,,,,,,
Botswana,BWA,AFR,UM,Sub-Saharan Africa,Upper middle,,,,,,,
Brazil,BRA,LAC,UM,Latin America & Caribbean,Upper middle,,,,,,,
Bulgaria,BGR,EURNA,UM,EU + EFTA + North America,Upper middle,,,,,,,
Burkina Faso,BFA,AFR,L,Sub-Saharan Africa,Low,,,,,,,
Cambodia,KHM,EAP,L,East Asia & Pacific,Low,,,,,,,
Cameroon,CMR,AFR,LM,Sub-Saharan Africa,Lower middle,,,,,,,
Canada,CAN,EURNA,H,EU + EFTA + North America,High,,,,,,,
Chile,CHL,LAC,H,Latin America & Caribbean,High,,,,,,,
China,CHN,EAP,UM,East Asia & Pacific,Upper middle,,,,,,,
Colombia,COL,LAC,UM,Latin America & Caribbean,Upper middle,,,,,,,
Costa Rica,CRI,LAC,UM,Latin America & Caribbean,Upper middle,,,,,,,
Cote d'Ivoire,CIV,AFR,LM,Sub-Saharan Africa,Lower middle,,,,,,,
Croatia,HRV,EURNA,H,EU + EFTA + North America,High,,,,,,,
Czech Republic,CZE,EURNA,H,EU + EFTA + North America,High,,,,,,,
Denmark,DNK,EURNA,H,EU + EFTA + North America,High,,,,,,,
Dominican Republic,DOM,LAC,UM,Latin America & Caribbean,Upper middle,,,,,,,
Ecuador,ECU,LAC,UM,Latin America & Caribbean,Upper middle,,,,,,,
Egypt,EGY,MENA,LM,Middle East & North Africa,Lower middle,,,,,,,
El Salvador,SLV,LAC,LM,Latin America & Caribbean,Lower middle,,,,,,,
Estonia,EST,EURNA,H,EU + EFTA + North America,High,,,,,,,
Ethiopia,ETH,AFR,L,Sub-Saharan Africa,Low,,,,,,,
Finland,FIN,EURNA,H,EU + EFTA + North America,High,,,,,,,
France,FRA,EURNA,H,EU + EFTA + North America,High,,,,,,,
Georgia,GEO,ECA,LM,Eastern Europe & Central Asia,Lower middle,,,,,,,
Germany,DEU,EURNA,H,EU + EFTA + North America,High,,,,,,,
Ghana,GHA,AFR,LM,Sub-Saharan Africa,Lower middle,,,,,,,
Greece,GRC,EURNA,H,EU + EFTA + North America,High,,,,,,,
Guatemala,GTM,LAC,LM,Latin America & Caribbean,Lower middle,,,,,,,
Honduras,HND,LAC,LM,Latin America & Caribbean,Lower middle,,,,,,,
"Hong Kong SAR, China",HKG,EAP,H,East Asia & Pacific,High,,,,,,,
Hungary,HUN,EURNA,UM,EU + EFTA + North America,Upper middle,,,,,,,
India,IND,SA,LM,South Asia,Lower middle,,,,,,,
Indonesia,IDN,EAP,LM,East Asia & Pacific,Lower middle,,,,,,,
